CourseNo	SNo	Slot	AdditionalSlot	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
AM5650	50	G		Nonlinear Dynamics	MAHESH PANCHAGNULA	3	9			60	30	Yes			FMSH	Y	Sayan Gupta	SI
AM5820	51	Q		Wind Tunnel and Numerical Experiments	RINKU MUKHERJEE	2	12			20	10	Yes			FMSH	Y	Sayan Gupta	SI
AM5850	52	A		Advanced Finite Element Methods	LAKSHMANA RAO C	3	9	AM5450 or any other equivalent basic course on FEA with COT		25	10	Yes			DCIF	Y	Sayan Gupta	SI
AM5920	53	G		Deep Learning for Mechanics  Deep Learning for Mechanics  Deep Learning for Mechanics	SHUVRANGSU DAS	9	0			50	15	Yes			CRC203	Y	Sayan Gupta	SI
AM6025	54	D		Magnetohydrodynamics	KANNABIRAN SESHASAYANAN	3	9	Fluid mechanics and basics of electromagnetism		30	15	Yes			NEWTON HALL	Y	Sayan Gupta	SI
AM6291	55	E		Computational Structural Dynamics	SHAIKH FARUQUE ALI	3	9	AM5290 or equivalent		30	20	Yes			MSB208	Y	Sayan Gupta	SI
AM6512	56	G		Application of Molecular Dynamics	PIJUSH GHOSH	3	9	NULL		20	20	Yes			MSB208	Y	Sayan Gupta	SI
AM6535	57	F		Medical Imaging Aided Computational Bio-Fluid Dynamics	PRASAD PATNAIK B S V	3	9	Fluid Mechanics		50	30	Yes			DCIF	Y	Sayan Gupta	SI
AM6550	58	A		Advanced Gas Dynamics	RINKU MUKHERJEE	3	9	Fluid Mechanics, Thermodynamics		30	20	Yes			FMSH	Y	Sayan Gupta	SI
AM6999	59	MM		Special Topics in Applied Mechanics	Ilaksh	3	6			0	0	No				N	Sayan Gupta	
AM6999	60	MM		Special Topics in Applied Mechanics	BABURAJ A P	3	6			0	0	No				N	Sayan Gupta	
AM6999	61	MM		Special Topics in Applied Mechanics	SUJATHA N	3	6			0	0	No				Y	Sayan Gupta	
AM7999	62	NT		Special Topics in Applied Mechanics	Ilaksh	3	6			0	0	No				N	Sayan Gupta	
AM7999	63	NT		Special Topics in Applied Mechanics	BABURAJ A P	3	6			0	0	No				N	Sayan Gupta	
AM7999	64	NT		Special Topics in Applied Mechanics	SUJATHA N	3	6			0	0	No				Y	Sayan Gupta	
AS1020	65	E		Fluid Mechanics	Manikandan M S	3	9			40	10	Yes			CR4	Y	Murthy H S N	CG
AS1020*	66	B		Fluid Mechanics	SUMIT SUNIL TAMBE	3	9			40	10	Yes			CR4	Y	Murthy H S N	CG
AS1300	67	F		Thermodynamics for Aerospace Engineering	SUJITH R I	3	9			40	10	Yes			CR3	Y	Murthy H S N	CG
AS1300*	68	C		Thermodynamics for Aerospace Engineering	MURUGANANDAM T M	3	9			40	10	Yes			CR3	Y	Murthy H S N	CG
AS2040	69	B		Flight Dynamics I	SANTANU GHOSH	3	9			40	10	Yes			CR2	Y	Murthy H S N	CG
AS2040*	70	C		Flight Dynamics I	LUOYI TAO	3	9			40	10	Yes			CR1	Y	Murthy H S N	CG
AS2070	71	D		Aerospace Structural Mechanics	NIDISH NARAYANA BALAJI	3	9	AS2010: Basic Strength of Materials		40	10	Yes			CR1	Y	Murthy H S N	CG
AS2070*	72	B		Aerospace Structural Mechanics	NAGAPPA	3	9	AS2010: Basic Strength of Materials		40	10	Yes			CR3	Y	Murthy H S N	CG
AS2080	73	E		Vibrations	BHASKAR K	3	9			40	10	Yes			CR2	Y	Murthy H S N	CG
AS2080*	74	D		Vibrations	NAGENDRA GOPAL K V	3	9			40	10	Yes			CR3	Y	Murthy H S N	CG
AS2101	75	P	L1	Introduction to Aerospace Engineering	Manikandan M S	2	5			40	10	Yes			CR4	Y	Murthy H S N	CG
AS2101*	76	P	L1	Introduction to Aerospace Engineering	SUNETRA  SARKAR	2	5			40	10	Yes			CR5	Y	Murthy H S N	CG
AS3050	77	A	H2	Flight Dynamics II	ANIKETH KALUR	5	12	NULL		40	10	Yes			CR3	Y	Murthy H S N	CG
AS3050*	78	D	M1	Flight Dynamics II	Devaprakash Muniraj	5	12	NULL		40	10	Yes			CR4	Y	Murthy H S N	CG
AS3270	79	G		Propulsion I	AMIT KUMAR	3	9			40	10	Yes			CR4	Y	Murthy H S N	CG
AS3270*	80	G		Propulsion I	AMIT KUMAR	3	9			40	10	Yes			CR5	Y	Murthy H S N	CG
AS3271	81	C		Propulsion II	CHAKRAVARTHY S R	3	10			40	10	Yes			CR4	Y	Murthy H S N	CG
AS3271*	82	C		Propulsion II	CHAKRAVARTHY S R	3	10			40	10	Yes			CR5	Y	Murthy H S N	CG
AS3510	83	Q	J3	Aero Lab I	RAJESH G	4	4			40	10	Yes			CR3, GD/Prop	Y	Murthy H S N	CG
AS3510*	84	Q	J3	Aero Lab I	Senthil Murugan M	4	4			40	10	Yes			CR2, STR	Y	Murthy H S N	CG
AS3520	85	P	L1	Aero Lab II	SIVASAMBU MAHESH	2	5	NULL		40	10	Yes			CR1, STR	Y	Murthy H S N	CG
AS3520	86	P	L1	Aero Lab II	PRASHANT RAWAT	2	5	NULL		40	10	Yes			CR1, STR	N	Murthy H S N	CG
AS3520*	87	P	L1	Aero Lab II	SRIRAM RENGARAJAN	2	5			40	10	Yes			CR2, GD/Prop	Y	Murthy H S N	CG
AS4545	88	UU		Undergraduate Research	MURTHY H S N	3	9			40	10	Yes				Y	Murthy H S N	CG
AS4600	89	UU		Project II	MURTHY H S N	9	14	NULL		40	10	Yes				Y	Murthy H S N	CG
AS5040	90	D		Flight Mechanics	SATADAL GHOSH	4	11			40	10	Yes			CR2	Y	Murthy H S N	CG
AS5040*	91	C		Flight Mechanics	JOEL GEORGE M	4	11			40	10	Yes			CR2	Y	Murthy H S N	CG
AS5100	92	UU		Mini Project	MURTHY H S N	6	12	NIL		40	10	Yes				Y	Murthy H S N	CG
AS5120	93	S		Labortaory II (Str. Lab)	VELMURUGAN R	2	3	NULL		40	10	Yes			STR	Y	Murthy H S N	CG
AS5120*	94	S		Labortaory II (Str. Lab)	DAVID KUMAR	2	3	Nil		40	10	Yes				Y	Murthy H S N	CG
AS5150	95	UU		M.Tech. Project	MURTHY H S N	23	38			0	0	No				Y	Murthy H S N	
AS5150#	96	UU		M.Tech. Project	MURTHY H S N	2	20			0	0	No				Y	Murthy H S N	
AS5150$	97	UU		M.Tech Project Proposal	MURTHY H S N	1	4			0	0	No				Y	Murthy H S N	
AS5150+	98	UU		M.Tech. Project	MURTHY H S N	8	27			0	0	No				Y	Murthy H S N	
AS5191	99	UU		DD Project	MURTHY H S N	20	20			20	10	Yes				Y	Murthy H S N	CG
AS5192	100	UU		DD Project	MURTHY H S N	27	27			20	10	Yes				Y	Murthy H S N	CG
AS5193	101	UU		DD Project	MURTHY H S N	38	38			20	10	Yes				Y	Murthy H S N	CG
AS5211	102	R	T, J3, H3	Design of Subsonic Aircraft	NIDISH NARAYANA BALAJI	3	12	AS1020, AS2030, AS2040, AS2050 for BTech; AS5010, AS5011 for MTech		80	20	Yes			CR2	N	Murthy H S N	CG
AS5211	103	R	T, J3, H3	Design of Subsonic Aircraft	RANJITH MOHAN	3	12	AS1020, AS2030, AS2040, AS2050 for BTech; AS5010, AS5011 for MTech		80	20	Yes			CR2	Y	Murthy H S N	CG
AS5213	104	R	T, J3, H3	Design of MAVs and UAVs	SHANKAR GHOSH	3	12	AS1020, AS2030, AS2040, AS2050 for BTech; AS5010, AS5011 for MTech		80	20	Yes			CR4, CR5	N	Murthy H S N	CG
AS5213	105	R	T, J3, H3	Design of MAVs and UAVs	NANDAN KUMAR SINHA	3	12	AS1020, AS2030, AS2040, AS2050 for BTech; AS5010, AS5011 for MTech		80	20	Yes			CR4, CR5	Y	Murthy H S N	CG
AS5350	106	G		Transonic Aerodynamics	SRIRAM RENGARAJAN	3	9	NULL		40	10	Yes			CR2	Y	Murthy H S N	CG
AS5370	107	E		Helicopter Aerodynamics	Bharath	3	9			40	40	Yes			CR1	Y	Murthy H S N	CG
AS5420	108	F		Introduction to CFD	PRADEEP KUMAR SESHADRI	3	9	NULL		40	10	Yes			CR4	Y	Murthy H S N	CG
AS5440	109	H		Hydrodynamic Stability,Transition and Flow Control	NIKHIL KHOBRAGADE	3	9	NULL		40	10	Yes			CR2	Y	Murthy H S N	CG
AS5470	110	A		Unsteady Aerodynamis of Moving Bodies	SUNETRA  SARKAR	3	9	COT		40	10	Yes			CR4	Y	Murthy H S N	CG
AS5581	111	F		Application of Numerical Techniques to Flight Mechanics	RANJITH MOHAN	3	9	Any programming language		80	20	Yes				Y	Murthy H S N	CG
AS5600	112	E		Introduction to Plasma and Its Applications	MURTHY H S N	9	9	NIL		40	10	Yes			CR3	Y	Murthy H S N	CG
AS5860	113	M		Composite Structures	VELMURUGAN R	3	9	NULL		40	10	Yes			CR1	Y	Murthy H S N	CG
AS5900	114	G		Elasticity	SIVASAMBU MAHESH	3	9	NULL		40	10	Yes			CR3	Y	Murthy H S N	CG
AS5970	115	F		Structural Dynamics and Aero-elasticity	Senthil Murugan M	3	9	NULL		40	10	Yes			CR2	Y	Murthy H S N	CG
AS5990	116	H		Micromechanics	SHYAM KERALAVARMA	3	9			40	10	Yes			CR1	Y	Murthy H S N	CG
AS6000	117	D		Basic Concepts in Aerospace Engineering	MURTHY H S N	4	12	none		0	0	No			CR5	Y	Murthy H S N	
AS6010	118	M		Hypersonic Flow Theory	SHANKAR GHOSH	3	9	NULL		40	10	Yes			CR3	Y	Murthy H S N	CG
AS6020	119	B		Introduction to Incompressible Turbulence	SAMEEN A	3	9	AS5010 or AS5011 or AS1020  or  equivalent  course		40	10	Yes			CR1	Y	Murthy H S N	CG
AS6030	120	A		Experimental Methods in Aero/ Gas Dynami	RAJESH G	3	9	NULL		40	10	Yes			CR2	Y	Murthy H S N	CG
AS6041	121	H		Advanced CFD - Eddy Resolving Methods	Nagabhushana Rao	3	9	AS1020, AS5420 or AS5460 or equivalent, AS6020 or equivalent		40	10	Yes			CR3	Y	Murthy H S N	CG
AS6510	122	E		Experimental Techniques in Struc. Mech.	DAVID KUMAR	3	9	NULL		40	10	Yes			CR5	Y	Murthy H S N	CG
BT1010	123	B		Life Sciences	SURESH KUMAR RAYALA	2	9	NULL		0	0	No			CRC101, CRC 102, CRC103, BT Seminar Hall	N	Subramaniam K	
BT1010	124	B		Life Sciences	MANOJ N	2	9	NULL		0	0	No			CRC101, CRC 102, CRC103, BT Seminar Hall	Y	Subramaniam K	
BT1010	125	B		Life Sciences	KESAVAN V	2	9	NULL		0	0	No			CRC101, CRC 102, CRC103, BT Seminar Hall	N	Subramaniam K	
BT1010	126	B		Life Sciences	NINITHA A J	2	9	NULL		0	0	No			CRC101, CRC 102, CRC103, BT Seminar Hall	N	Subramaniam K	
BT1020	127	F		Material and Energy Balances	VIGNESH MUTHUVIJAYAN	4	11			30	0	Yes			BT108	Y	Subramaniam K	ST
BT2010	128	D		Microbiology	ARUMUGAM	3	9			40	20	Yes			BT110	Y	Athi Narayanan N	ST
BT2022	129	A		Biostatistics	RAJAMANICKAM MURUGAN	4	10			150	80	Yes			BT Seminar Hall	Y	Athi Narayanan N	ST
BT2030	130	E		Biochemistry	AMAL KANTI	3	12			40	20	Yes			BT108	Y	Athi Narayanan N	ST
BT2041	131	D		Principles of Bioprocess Engineering	SMITA SRIVASTAVA	3	9	BT1020		40	40	Yes			ED306	Y	Athi Narayanan N	ST
BT2080	132	B	R	Programming for Biology	CHITRA BABU	4	11			40	20	Yes			BT108, CRC 201	Y	Athi Narayanan N	ST
BT3011	133	E		Molecular Biology and Genetic Engineering	MAMATA BHASKARA BANGERA	3	9			60	20	Yes			BT110	Y	Hamsa Priya Mohana Sundaram	ST
BT3012	134	C		Molecular Biology	MADHULIKA DIXIT	3	10			40	20	Yes			BT110	Y	Gopala Krishna A	ST
BT3022	135	C		Genomics and Proteomics	NITISH R MAHAPATRA	4	10			25	10	Yes			BT108	Y	Gopala Krishna A	ST
BT3040	136	G		Bioinformatics	MICHAEL GROMIHA M	4	11			40	20	Yes			BT108	Y	Hamsa Priya Mohana Sundaram	ST
BT3041	137	C		Analysis and Interpretation of Biological Data	MEIYAPPAN LAKSHMANAN	3	10			40	20	Yes			CRC101	Y	Hamsa Priya Mohana Sundaram	ST
BT3092	138	B		Plant Biology	BASKAR R	9	9	BT1010 or equivalent		40	0	Yes			BT003	Y	Gopala Krishna A	ST
BT3111	139	P	Q	Basic Biology Lab	BASKAR R	4	8			0	0	No			BT115	Y	Gopala Krishna A	
BT3121	140	P	Q	Bioprocess Engineering Laboratory	VIGNESH MUTHUVIJAYAN	8	8			0	0	No			BT118	N	Hamsa Priya Mohana Sundaram	
BT3121	141	P	Q	Bioprocess Engineering Laboratory	Shantanu Pradhan	8	8			0	0	No			BT118	Y	Hamsa Priya Mohana Sundaram	
BT3142	142	S	T	Cell Biology lab	Nathiya	8	8			0	0	No			BT118	Y	Gopala Krishna A	
BT3900	143	YY		Industrial Training (Summer)	NINITHA A J	2	0			0	0	No				Y	Hamsa Priya Mohana Sundaram	
BT4122	144	S	T	Chemical Biology Laboratory	KESAVAN V	4	8			0	0	No			BT115	Y	Subramaniam K	
BT4230	145	F		Environmental Biotechnology	CHANDRARAJ K	3	9			40	20	Yes			ED306	Y	Subramaniam K	ST
BT5013	146	G		Cellular and Molecular Neuroscience	SANTHOSH	3	9			40	20	Yes			BT003	Y	Madhulika Dixit	ST
BT5041	147	A		Downstream Processing	GUHAN JAYARAMAN	3	10			40	20	Yes			BT108	Y	Manoj N	ST
BT5121	148	R	S	Bioprocess Engineering Lab 2	RICHA KARMAKAR	2	3			0	0	No			BT115	Y	Manoj N	
BT5130	149	C		Tissue Engineering	Shantanu Pradhan	4	10	NULL		40	20	Yes			ED207	Y	Suraishkumar G K	ST
BT5170	150	F		Membrane Biology and Signal Transduction	GOPALA KRISHNA A	3	9	NULL		40	20	Yes			BT003	Y	Suraishkumar G K	ST
BT5210	151	D		Bioprocess Control	HAMSA PRIYA MOHANA SUNDARAM	3	9			15	0	Yes			BT003	Y	Manoj N	ST
BT5240	152	E		Computational Systems Biology	KARTHIK RAMAN	4	12			40	20	Yes			CRC101	Y	Manoj N	ST
BT5340	153	E		Protein Folding and Stability	ATHI NARAYANAN N	3	9	Basic knowledge of protein structures and chemistry		40	20	Yes			ED306	Y	Manoj N	ST
BT5360	154	F		Reactive Species in Medical and Related Technologies	SURAISHKUMAR G K	3	9			25	10	Yes			BT 110	Y	Madhulika Dixit	ST
BT5390	155	XX		Introduction to Developmental Biology	SUBRAMANIAM K	3	9			25	10	Yes				Y	Madhulika Dixit	ST
BT5410	156	A		Infection Biology	VANI JANAKIRAMAN	3	9	COT		40	20	Yes			BT110	Y	Madhulika Dixit	ST
BT5440	157	F		Quantitative and Population Genetics	Himanshu Sinha	3	9			40	20	Yes			ED207	Y	Suraishkumar G K	ST
BT5480	158	G		Stem cells and Regenerative Medicine	GREESHMA THRIVIKRAMAN	3	9	None		40	20	Yes			BT110	Y	Madhulika Dixit	ST
BT5703	159	PP		Biological Engineering DD Project (Phase III)	CHANDRARAJ K	40	40			0	0	No				Y	Sanjib Senapati	
BT5803	160	PP		Biological Sciences DD Project (Phase III)	CHANDRARAJ K	40	40			0	0	No				Y	Sanjib Senapati	
BT5933	161	PP		MTech Bioprocess Engineering Project III	MEIYAPPAN LAKSHMANAN	12	40			0	0	No				Y	Sanjib Senapati	
BT6021	162	ZZ		Introduction to Research	MAMATA BHASKARA BANGERA	2	0	NIL		0	0	No				Y	Arumugam	
BT6999	163	XX		Special Topics in Biotechnology	SANJIB SENAPATI	2	6			0	0	No				Y	Sanjib Senapati	
BT7210	164	D		Protein Structure and Functions	SANJIB SENAPATI	3	9	COT		60	20	Yes			BT108	Y	Arumugam	ST
BT7230	165	E		Advanced Molecular and Cellular Biology	MAHALINGAM S	3	9	BT2082; BT3012; COT		15	10	Yes			BT003	Y	Arumugam	ST
BT7999	166	YY		Special Topics in Biotechnology	SANJIB SENAPATI	2	6			0	0	No				Y	Sanjib Senapati	
CA5562	167	UU		Project II	RENGANATHAN T	13	40			0	0	No				Y	Upendra Natarajan	
CE1020	168	G		Functional Design of Buildings	RAMAMURTHY K	2	6	NIL		60	10	Yes			BSB317	Y	Alagappan Ponnalagu	SI
CE3050	169	B	P	Basic Design of Steel Structures	RUPEN GOSWAMI	4	11			0	0	No			BSB312 BSB317	Y	Alagappan Ponnalagu	
CE3050	170	B	P	Basic Design of Steel Structures	RAGHUKANTH S T G	4	11			0	0	No			BSB312 BSB317	N	Alagappan Ponnalagu	
CE3100	171	Q		Structural engineering laboratory	ARUN MENON	2	4	NULL		0	0	No			LAB	N	Alagappan Ponnalagu	
CE3100	172	Q		Structural engineering laboratory	MEHER PRASAD A	2	4	NULL		0	0	No			LAB	N	Alagappan Ponnalagu	
CE3100	173	Q		Structural engineering laboratory	ALAGAPPAN	2	4	NULL		0	0	No			LAB	Y	Alagappan Ponnalagu	
CE3420	174	D		Concrete Technology	KEERTHANA KIRUPAKARAN	3	9	NULL		40	10	Yes			BSB312	N	Alagappan Ponnalagu	SI
CE3420	175	D		Concrete Technology	RAVINDRA GETTU	3	9	NULL		40	10	Yes			BSB312	Y	Alagappan Ponnalagu	SI
CE4010	176	A	R	Construction Project Management	ASHWIN MAHALINGAM	4	10			0	0	No			BSB312	Y	Alagappan Ponnalagu	
CE4010	177	A	R	Construction Project Management	NIKHIL BUGALIA IITM	4	10			0	0	No			BSB312	N	Alagappan Ponnalagu	
CE4050	178	UU		Under graduate Project I	RAMAMURTHY K	3	13	None		0	0	No				Y	Alagappan Ponnalagu	
CE4060	179	UU		Under graduate Project II	RAMAMURTHY K	6	14	CE4050		0	0	No				Y	Alagappan Ponnalagu	
CE4310	180	G		Design of concrete structural systems	AMLAN K SENGUPTA	3	9	CE3060 Basic Reinforced Concrete Design or CoT		150	0	Yes			BSB203	Y	Alagappan Ponnalagu	SI
CE4803	181	UU		Project - Even Semester	RAMAMURTHY K	40	40	CE4802		0	0	No				Y	Alagappan Ponnalagu	
CE4901	182	VV		Undergraduate Research - I	RAMAMURTHY K	3	9	Students should have a CGPA > 8.0 without any backlogs		0	0	No				Y	Alagappan Ponnalagu	
CE4902	183	VV		Undergraduate Research - II	RAMAMURTHY K	3	9	Students should have a CGPA > 8.0 without any backlogs		0	0	No				Y	Alagappan Ponnalagu	
CE4903	184	VV		Undergraduate Research - III	RAMAMURTHY K	3	9	Students should have a CGPA > 8.0 without any backlogs		0	0	No				Y	Alagappan Ponnalagu	
CE5011	185	F		Design of Masonry Structures	ARUN MENON	3	9	NIL		60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE5027	186	E		Mechanical Behaviour of Cement-Based Materials	KEERTHANA KIRUPAKARAN	3	9	Nil		30	10	Yes			BSB206	Y	Soumendra Nath Kuiry	SI
CE5040	187	K		Construction,Methods & Equipment	MURALI JAGANNATHAN	3	9	NIL		60	0	Yes			BSB203	Y	Soumendra Nath Kuiry	SI
CE5090	188	P		Construction Materials Lab	Piyush Chaunsali	3	8	NIL		60	0	Yes			LAB	Y	Soumendra Nath Kuiry	SI
CE5090	189	P		Construction Materials Lab	ASLAM KUNHI MOHAMED	3	8	NIL		60	0	Yes			LAB	N	Soumendra Nath Kuiry	SI
CE5100	190	Q		Construction Software Lab	ARITRA PAL	4	6	N/A		0	0	No			DCF	Y	Soumendra Nath Kuiry	
CE5105	191	D		Environmental Toxicology and Risk Assessment	Mathava Kumar S	3	9			40	10	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
CE5111	192	H		Geophysical Exploration Methods	ELANGO LAKSHMANAN	3	9	Nil		25	5	Yes			NAC II 238	Y	Soumendra Nath Kuiry	SI
CE5115	193	B		Admixtures and Special Concretes	MANU SANTHANAM	3	9	UG course in Concrete Technology		10	0	Yes			BSB206	Y	Soumendra Nath Kuiry	SI
CE5160	194	A		Biological Process Design for Wastewater Treatment	LIGY PHILIP	4	12	NIL		40	10	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
CE5180	195	B		Air Pollution and Control Engineering	SHIVA NAGENDRA S M	4	12	B.Tech/DD- CE3040 or CE4810		40	10	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
CE5200	196	P	Q	Environment Process Lab	MOHANAKRISHNAN LOGAN	4	8			0	0	No			NAC II 317	Y	Soumendra Nath Kuiry	
CE5215	197	E		Concrete Pavement Technology	Surender Singh	3	9	NIL		30	5	Yes			BSB377	Y	Soumendra Nath Kuiry	SI
CE5220	198	R		Environmental Engineering Seminar	MOHANAKRISHNAN LOGAN	2	3			0	0	No			NAC II 331	Y	Soumendra Nath Kuiry	
CE5225	199	E	R	Numerical techniques in civil engineering	Venkatraman	3	10			40	10	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
