SNo	Slot	AdditionalSlot	CourseNo	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
89	A 		AS3271	Propulsion II	PRAVENDRA KUMAR	3	9			80	20	Yes			CR4	Y	Sameen A	CG
90	L 	H3	AS3271*	Propulsion II	CHAKRAVARTHY S R	3	9			80	20	Yes			CR2	Y	Sameen A	CG
91	T 	J3	AS3520	Aero Lab II	SHYAM KERALAVARMA	1	4			80	20	Yes			CR2, STR	Y	Sameen A	CG
92	T 	J3	AS3520	Aero Lab II	NAGAPPA	1	4			80	20	Yes			CR2, STR	N	Sameen A	CG
93	R 	H3	AS3520*	Aero Lab II	NIKHIL KHOBRAGADE	1	4			80	20	Yes			CR3, NAC2 421	Y	Sameen A	CG
94	XX		AS4545	Undergraduate Research	SAMEEN A	3	9			40	0	Yes				Y	Sameen A	CG
95	YY		AS4546	Undergraduate Research - II	SAMEEN A	3	9			40	0	Yes				Y	Sameen A	CG
96	UU		AS4600+	Project I	SAMEEN A	3	13			40	0	Yes				Y	Sameen A	CG
97	B 		AS5010	Aerodynamics and Aircraft Performance	SAMEEN A	3	9			0	0	No			CR1	Y	Sameen A	
98	F 		AS5010*	Aerodynamics and Aircraft Performance	SUNETRA  SARKAR	3	9			0	0	No			CR3	Y	Sameen A	
99	C 		AS5011	Compressible Fluid Flows	RAJESH G	3	9			0	0	No			CR4	Y	Sameen A	
100	B 		AS5011*	Compressible Fluid Flows	NIKHIL KHOBRAGADE	3	9			0	0	No			CR4	Y	Sameen A	
101	D 		AS5020	Aerospace Propulsion	AMIT KUMAR	3	9			0	0	No			CR1	Y	Sameen A	
102	E 		AS5020*	Aerospace Propulsion	RAMAKRISHNA P A	3	9			0	0	No			CR3	Y	Sameen A	
103	A 		AS5030	Aerospace Structures	PRASHANT RAWAT	4	12			0	0	No			CR2	Y	Sameen A	
104	C 		AS5030*	Aerospace Structures	VELMURUGAN R	4	12			0	0	No			CR3	Y	Sameen A	
105	R 	K1, L2, H3	AS5100	Mini Project	MURTHY H S N	6	12	NIL		80	0	Yes			CR4	Y	Sameen A	CG
106	T 	J1, K2, H3	AS5100*	Mini Project	NIDISH NARAYANA BALAJI	6	12	NIL		80	0	Yes			CR5	Y	Sameen A	CG
107	T 		AS5110	Laboratory I	LUOYI TAO	2	3	NULL		0	0	No			NAC2 421	Y	Sameen A	
108	S 		AS5110*	Laboratory I	RAJESH G	2	3			0	0	No			NAC2 421	Y	Sameen A	
109	VV		AS5150#	M.Tech. Project	SAMEEN A	2	20			0	0	No				Y	Sameen A	
110	VV		AS5150$	M.Tech Project Proposal	SAMEEN A	1	4			0	0	No				Y	Sameen A	
111	VV		AS5150+	M.Tech. Project	SAMEEN A	8	27			0	0	No				Y	Sameen A	
112	UU		AS5190&	DD Project Proposal	SAMEEN A	1	4			40	0	Yes				Y	Sameen A	CG
113	UU		AS5191	DD Project	SAMEEN A	20	20			40	0	Yes				Y	Sameen A	CG
114	UU		AS5192	DD Project	SAMEEN A	27	27			40	0	Yes				Y	Sameen A	CG
115	C 		AS5320	Boundary Layer Theory	SUMIT SUNIL TAMBE	3	9	NULL		80	20	Yes			NAC2 421	Y	Sameen A	CG
116	H1	H2	AS5401	Data-driven modeling of complex aerospace systems and fluid flows	ANIKETH KALUR	9	9	Linear Algebra, Linear systems theory, Basics of Ordinary & Partial Differential Equations, MATLAB/Python		80	20	Yes			CR3	Y	Sameen A	CG
117	M 		AS5430	Stability of Shear Flows	Manikandan M S	3	9	NULL		80	20	Yes			CR3	Y	Sameen A	CG
118	E 		AS5460	Finite Volume Methods for Hyperbolic PDEs	SANTANU GHOSH	3	9			80	20	Yes			CR2	Y	Sameen A	CG
119	G 		AS5570	Principles of Guidance for Autonomous Vehicles	SATADAL GHOSH	3	9	No pre-requisite is required. However, basic concepts of Control Theory and Flight Dynamics are helpful.		80	20	Yes			CR4	Y	Sameen A	CG
120	H1	H2	AS5580	Pseudo-Spectral Methods for Optimal Control	RANJITH MOHAN	3	9			80	20	Yes			CR4	Y	Sameen A	CG
121	H1	H2	AS5621	Design and Analysis of Turbomachines	Nagabhushana Rao 	4	10	AS3270/3271 or AS5020		80	20	Yes			CR1	Y	Sameen A	CG
122	M 		AS5640	Combustion, Explosion and  Detonation	MURUGANANDAM T M	3	9	NULL		80	20	Yes			CR1	Y	Sameen A	CG
123	H1	H2	AS5820	Analysis of Plates and  Shells	BHASKAR K	3	9	NULL		80	20	Yes			CR2	Y	Sameen A	CG
124	M 		AS5850	Finite Element Analysis	NAGENDRA GOPAL K V	3	9	NULL		80	20	Yes			CR2	Y	Sameen A	CG
125	E 		AS5880	Mechanics of Damage Tolerance	SHYAM KERALAVARMA	3	9	NULL		80	20	Yes			CR1	Y	Sameen A	CG
126	G 		AS5960	Advanced Strength of Materials	NAGAPPA	3	9	NULL		80	20	Yes			CR3	Y	Sameen A	CG
127	G 		AS5980	Contact Mechanics and Tribology 	MURTHY H S N	3	9	NULL		80	20	Yes			NAC2 421	Y	Sameen A	CG
128	A 		AS6000	Basic Concepts in Aerospace Engineering	Bharath	4	12	none		0	0	No			CR1	Y	Sameen A	
129	E 		AS6320	Acoustic Instabilities in Aerospace Prop	ASWATHY SURENDRAN	3	9	NULL		80	20	Yes			CR4	Y	Sameen A	CG
130	G 		AS6340	Combustion and  Flow Diagnostics	SUJITH R I	3	9	NULL		80	20	Yes			CR1	Y	Sameen A	CG
131	F 		AS6520	Mathematics for Aerospace Engineers	SIVASAMBU MAHESH	3	9			0	0	No			CR4	Y	Sameen A	
132	D 		AS6520*	Mathematics for Aerospace Engineers	RANJITH MOHAN	3	9			0	0	No			CR2	Y	Sameen A	
133	A 		BT1000	Introduction to Biological Sciences & Engineering	GREESHMA THRIVIKRAMAN	2	9			0	0	No			CRC101	Y	Shantanu Pradhan	
134	B 		BT1010	Life Sciences	GOPALA KRISHNA A	2	9	NULL		0	0	No			CRC 101, CRC 102, CRC 103	N	Shantanu Pradhan	
135	B 		BT1010	Life Sciences	NITISH R MAHAPATRA	2	9	NULL		0	0	No			CRC 101, CRC 102, CRC 103	Y	Shantanu Pradhan	
136	B 		BT1010	Life Sciences	SANTHOSH	2	9	NULL		0	0	No			CRC 101, CRC 102, CRC 103	N	Shantanu Pradhan	
137	B 		BT2011	Microbiology and Biochemistry	CHANDRARAJ K	3	9			40	20	Yes			BT108	Y	Himanshu Sinha	ST
138	G 		BT2012	Genetics	BASKAR R	3	10			40	5	Yes			BT110	Y	Himanshu Sinha	ST
139	C 		BT2020*	Numerical methods for biology	SANJIB SENAPATI	3	9			0	0	No			BT108	Y	Himanshu Sinha	
140	D 		BT2042	Fundamentals of Biophysical Chemistry	ATHI NARAYANAN N	3	10			20	10	Yes			BT110	Y	Himanshu Sinha	ST
141	E 		BT2082	Cell Biology	Nathiya	3	9			10	0	Yes			BT110	Y	Himanshu Sinha	ST
142	P 	Q	BT2122	Biochemistry Laboratory	MAHALINGAM S	4	8			0	0	No			BT118	Y	Himanshu Sinha	
143	C 		BT3020	Structural Biology	MANOJ N	3	9	BT1010		40	20	Yes			BT110	Y	Sanjib Senapati	ST
144	A 		BT3023	Animal Biology	NINITHA A J	9	9			40	0	Yes			BT110	Y	Nitish R Mahapatra	ST
145	D 		BT3032	Evolutionary Biology	Himanshu Sinha	3	9	BT1010		60	20	Yes			ED307	Y	Sanjib Senapati	ST
146	F 		BT3040	Bioinformatics	MICHAEL GROMIHA M	4	11			0	0	No			BT108	Y	Sanjib Senapati	
147	E 		BT3041	Analysis and Interpretation of Biological Data	MEIYAPPAN LAKSHMANAN	3	10			30	10	Yes			BT108	Y	Sanjib Senapati	ST
148	P 	Q	BT3121	Bioprocess Engineering Laboratory	RICHA KARMAKAR	8	8			0	0	No			BT115	Y	Nitish R Mahapatra	
149	R 	S	BT3122	Molecular Biology Laboratory	SUBRAMANIAM K	4	8			0	0	No			BT118	Y	Nitish R Mahapatra	
150	C 		BT5011	Biomaterials Engineering	VIGNESH MUTHUVIJAYAN	3	9			30	10	Yes			ED108	Y	Chandraraj K	ST
151	D 		BT5031	Thermodynamics in Biochemical Engineering	SURAISHKUMAR G K	4	10			0	0	No			BT108	N	Chandraraj K	
152	D 		BT5031	Thermodynamics in Biochemical Engineering	SANJIB SENAPATI	4	10			0	0	No			BT108	Y	Chandraraj K	
153	G 		BT5045	Microscopy for life sciences	MAMATA BHASKARA BANGERA	3	9	None		40	10	Yes			BT108	Y	Mahalingam S	ST
154	A 		BT5051	Transport Phenomena in Biological Systems	SURAISHKUMAR G K	4	10			30	10	Yes			BT108	Y	Chandraraj K	ST
155	F 	P	BT5052	Machine Learning for Biology	HAMSA PRIYA MOHANA SUNDARAM	4	11	Proficiency in python programming		40	10	Yes			BT110	Y	Chandraraj K	ST
156	B 		BT5061	Cellular Engineering	Shantanu Pradhan	3	9			40	10	Yes			BT110	Y	Mahalingam S	ST
157	B 		BT5071	Bioreactor Design and Analysis	KRITHIKA RAVI	3	10			30	10	Yes			BT003	Y	Mahalingam S	ST
158	S 	T	BT5111	Bioprocess Engineering Lab 1	KRITHIKA RAVI	2	3			0	0	No			BT116	Y	Chandraraj K	
159	A 		BT5320	Medicinal Chemistry and Drug Design	KESAVAN V	3	9	BT1022; BT4012		30	10	Yes			BT003	Y	Mahalingam S	ST
160	C 		BT5370	Fermentation Technology	SATHYANARAYANA N GUMMADI	3	9			40	20	Yes			BT003	Y	Chandraraj K	ST
161	G 		BT5410	Infection Biology	VANI JANAKIRAMAN	3	9	COT		40	10	Yes			ED307	Y	Mahalingam S	ST
162	G 		BT5490	Molecular Epigenetics	ARUMUGAM	3	9	None		40	10	Yes			BT003	Y	Mahalingam S	ST
163	UU		BT5702	Biological Engineering DD Project (Phase II)	CHANDRARAJ K	20	20			0	0	No				Y	Sanjib Senapati	
164	UU		BT5802	Biological Sciences DD Project (Phase II)	CHANDRARAJ K	20	20			0	0	No				Y	Sanjib Senapati	
165	UU		BT5932	MTech Bioprocess Engineering Project II	MEIYAPPAN LAKSHMANAN	12	40			0	0	No				Y	Sanjib Senapati	
166	ZZ		BT6021	Introduction to Research	MAMATA BHASKARA BANGERA	2	0	NIL		0	0	No				Y	Vani Janakiraman	
167	A 		BT6220	Theoretical Biophysics	RAJAMANICKAM MURUGAN	3	9			120	50	Yes			BT Seminar Hall	Y	Vani Janakiraman	ST
168	E 		BT6230	Vascular Biology 	MADHULIKA DIXIT	3	9	NIL		40	10	Yes			BT003	Y	Vani Janakiraman	ST
169	D 		BT6290	Molecular Basis of Diseases	SURESH KUMAR RAYALA	3	9	BT2082; BT3072		40	10	Yes			BT003	Y	Vani Janakiraman	ST
170	F 		BT6330	Physics of Cells	RICHA KARMAKAR	3	9	Nil		40	10	Yes			BT003	Y	Vani Janakiraman	ST
171	MM		BT6999	Special Topics in Biotechnology	SANJIB SENAPATI	2	6			0	0	No				Y	Sanjib Senapati	
172	N 		BT7999	Special Topics in Biotechnology	SANJIB SENAPATI	2	6			0	0	No				Y	Sanjib Senapati	
173	A1	A2	CE1010	Introduction to Civil Engineering Profession	SUBHADEEP BANERJEE	2	8	NULL		150	0	Yes			BSB 317	N	Alagappan Ponnalagu	SI
174	A1	A2	CE1010	Introduction to Civil Engineering Profession	RAVINDRA GETTU	2	8	NULL		150	0	Yes			BSB 317	Y	Alagappan Ponnalagu	SI
175	E 		CE3320	Design of steel structural systems	SATHISH KUMAR S R	3	9	CE3050 Basic Structural Steel Design or CoT		40	0	Yes			STR 401	Y	Alagappan Ponnalagu	SI
176	G 		CE3510	Ground Improvement	SOUGATA MUKHERJEE	3	9	NULL		40	0	Yes			BSB 370	Y	Alagappan Ponnalagu	SI
177	UU		CE4050	Under graduate Project I	RAMAMURTHY K	3	13	None		0	0	No				Y	Alagappan Ponnalagu	
178	UU		CE4060	Under graduate Project II	RAMAMURTHY K	6	14	CE4050		60	10	Yes				Y	Alagappan Ponnalagu	SI
179	T 		CE4670	Case studies in Structural Engineering	MEHER PRASAD A	3	9	NIL		80	0	Yes			BSB 204	Y	Alagappan Ponnalagu	SI
180	UU		CE4801	Project (Summer)	RAMAMURTHY K	25	25	None		0	0	No				Y	Alagappan Ponnalagu	
181	UU		CE4802	Project - Odd semester	RAMAMURTHY K	20	20	CE4801		0	0	No				Y	Alagappan Ponnalagu	
182	XX		CE4901	Undergraduate Research - I	RAMAMURTHY K	3	9			0	0	No				Y	Alagappan Ponnalagu	
183	XX		CE4902	Undergraduate Research - II	RAMAMURTHY K	3	9			0	0	No				Y	Alagappan Ponnalagu	
184	XX		CE4903	Undergraduate Research - III	RAMAMURTHY K	3	9			0	0	No				Y	Alagappan Ponnalagu	
185	C 		CE5010	Modern Construction Materials	ASLAM KUNHI MOHAMED	3	9	NIL		60	0	Yes			BSB 206	N	Soumendra Nath Kuiry	SI
186	C 		CE5010	Modern Construction Materials	RAVINDRA GETTU	3	9	NIL		60	0	Yes			BSB 206	Y	Soumendra Nath Kuiry	SI
187	E 		CE5015	Environmental Monitoring and Data Analysis	SHIVA NAGENDRA S M	3	9			40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
188	F 		CE5016	Sustainability in River Basin Management	BALAJI NARASIMHAN	3	9	None		50	10	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
189	G 		CE5020	Construction Planning and Control	SIVAKUMAR PALANIAPPAN	3	9	NIL		10	0	Yes			BSB 206	Y	Soumendra Nath Kuiry	SI
190	ZZ		CE5020W	Analysis of Bridges	MEHER PRASAD A	4	12	None		0	0	No				Y	Soumendra Nath Kuiry	
191	TT		CE5022W	Geotechnical Engineering, and Hydrology & Hydraulics of Bridges	ROBINSON R G	3	9	None		0	0	No			BSB 206	Y	Soumendra Nath Kuiry	
192	S 		CE5026	 Design of Steel-Concrete Composite Structures	APPARAO G	3	9	For UG students CE3050, CE3060		40	0	Yes			BSB 237	Y	Soumendra Nath Kuiry	SI
193	T 		CE5060	Industrial Seminar	MURALI JAGANNATHAN	1	4	NIL		0	0	No			BSB 368 (VSH)	Y	Soumendra Nath Kuiry	
194	T 		CE5060	Industrial Seminar	KEERTHANA KIRUPAKARAN	1	4	NIL		0	0	No			BSB 368 (VSH)	N	Soumendra Nath Kuiry	
195	B 		CE5110	Building Services	RAMAMURTHY K	3	11	Nil		60	0	Yes			BSB 237	Y	Soumendra Nath Kuiry	SI
196	E 		CE5120	Maintenance and Rehabilitation of Constructed Facilities	RADHAKRISHNA G  PILLAI	3	9	NIL		40	0	Yes			BSB 206	Y	Soumendra Nath Kuiry	SI
197	A 		CE5150	Environmental Chemistry and Microbiology	VIKRAM CHOUDHARY	3	12	NIL		40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
198	D 		CE5170	Physico-chemical Process for Water and Wastewater Treatment	Mathava Kumar S	4	12	NIL		40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
199	C 		CE5171	Water, Sanitation and Hygiene	SHIVA NAGENDRA S M	3	9	None		40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
200	P 		CE5190	Environmental Sampling and Analytical Lab	SACHIN S GUNTHE	2	4	NIL		20	0	Yes			NAC II 316	Y	Soumendra Nath Kuiry	SI
201	D 		CE5210	Transport of Water & waste water	VENU CHANDRA	3	9	NIL		30	5	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
202	L 		CE5235	Understanding climate dynamics and its mysteries	SACHIN S GUNTHE	3	9	Basic knowledge about differential equations, radiation physics, and dynamics		40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
203	C 		CE5450	Applied Hydraulic Engg	SOUMENDRA NATH KUIRY	4	9	NIL		20	5	Yes			NAC II 238	Y	Soumendra Nath Kuiry	SI
204	A 		CE5460	Ground Water Engineering	Venkatraman	4	12	NIL		20	5	Yes			NAC II 238	Y	Soumendra Nath Kuiry	SI
